stand_id,geo,proj_id,DoTreat,selected,ETrt_YR,area,p_california_spotted_owl,p_storage,p_functional_fire,p_forest_structure,p_max_sdi,cost,weightedPriority,Pr_1_weighted_priorities,scenario_write_tags
6964,"POLYGON ((-2127263.8119731266 2250603.832999289, -2127263.8119731266 2250303.832999289, -2126963.8119731266 2250303.832999289, -2126963.8119731266 2250603.832999289, -2127263.8119731266 2250603.832999289))",3,1,1,1,0.09,0.3399999738,1.040199075,1.418938309,1.087744296,0.7909227163,450000000,0.07282002588,1,20230322-11-42
6965,"POLYGON ((-2127263.8119731266 2250303.832999289, -2127263.8119731266 2250003.832999289, -2126963.8119731266 2250003.832999289, -2126963.8119731266 2250303.832999289, -2127263.8119731266 2250303.832999289))",3,1,1,1,0.09,0.1800000072,0.7231309414,1.365804464,1.078192525,0.7470375001,450000000,0.06505722041,1,20230322-11-42
6966,"POLYGON ((-2127263.8119731266 2250003.832999289, -2127263.8119731266 2249703.832999289, -2126963.8119731266 2249703.832999289, -2126963.8119731266 2250003.832999289, -2127263.8119731266 2250003.832999289))",3,1,1,1,0.09,0.04000002146,0.5932812393,1.516643822,1.060928833,0.8842306584,450000000,0.06804607959,1,20230322-11-42
6967,"POLYGON ((-2127263.8119731266 2249703.832999289, -2127263.8119731266 2249403.832999289, -2126963.8119731266 2249403.832999289, -2126963.8119731266 2249703.832999289, -2127263.8119731266 2249703.832999289))",3,1,1,1,0.09,0.5399999917,1.005321078,1.46109271,1.13481161,1.173968881,450000000,0.08915448082,1,20230322-11-42
6968,"POLYGON ((-2127263.8119731266 2249403.832999289, -2127263.8119731266 2249103.832999289, -2126963.8119731266 2249103.832999289, -2126963.8119731266 2249403.832999289, -2127263.8119731266 2249403.832999289))",3,1,1,1,0.09,0.3399999738,1.120827623,1.417285591,1.023474328,0.6449665725,450000000,0.06782508548,1,20230322-11-42
6969,"POLYGON ((-2127263.8119731266 2249103.832999289, -2127263.8119731266 2248803.832999289, -2126963.8119731266 2248803.832999289, -2126963.8119731266 2249103.832999289, -2127263.8119731266 2249103.832999289))",3,1,1,1,0.09,0,0.9211282134,1.340600461,1.151804,1.139220625,450000000,0.07949093262,1,20230322-11-42
6970,"POLYGON ((-2127263.8119731266 2248803.832999289, -2127263.8119731266 2248503.832999289, -2126963.8119731266 2248503.832999289, -2126963.8119731266 2248803.832999289, -2127263.8119731266 2248803.832999289))",1,1,1,1,0.09,0.5,0.8776497915,1.34580794,1.115208521,0.7929418087,450000000,0.07250275427,1,20230322-11-42
6971,"POLYGON ((-2127263.8119731266 2248503.832999289, -2127263.8119731266 2248203.832999289, -2126963.8119731266 2248203.832999289, -2126963.8119731266 2248503.832999289, -2127263.8119731266 2248503.832999289))",1,1,1,1,0.09,1.059999999,1.04891663,1.364231676,1.198741928,1.017192606,450000000,0.09020250783,1,20230322-11-42
6972,"POLYGON ((-2127263.8119731266 2248203.832999289, -2127263.8119731266 2247903.832999289, -2126963.8119731266 2247903.832999289, -2126963.8119731266 2248203.832999289, -2127263.8119731266 2248203.832999289))",1,1,1,1,0.09,1.959999979,1.075209819,1.437268823,1.052130431,0.2520421147,450000000,0.07352925857,1,20230322-11-42
6973,"POLYGON ((-2127263.8119731266 2247903.832999289, -2127263.8119731266 2247603.832999289, -2126963.8119731266 2247603.832999289, -2126963.8119731266 2247903.832999289, -2127263.8119731266 2247903.832999289))",1,1,1,1,0.09,0.2400000095,0.9730743449,1.387380868,1.137435153,1.042110369,450000000,0.07988613835,1,20230322-11-42
